Date,Channel,Campaign_Name,Impressions,Clicks,Spend,Leads,Revenue,CTR,CPC,ROI
2026-01-29,google ads,Retargeting_Global,16795,1938,1186.57,50.0,2048.65,0.11539148556117892,0.612265221878225,0.726531093825059
2026-01-07,google ads,Lead_Gen_Q1,1860,1023,564.52,79.0,4871.62,0.55,0.5518279569892472,7.629667682278751
2026-03-12,google ads,Promo_Spring,39158,60,647.59,71.0,2766.57,0.0015322539455539098,10.793166666666668,3.272101175126237
2026-03-04,linkedin,Retargeting_Global,45732,1440,846.94,11.0,1448.67,0.03148779847808974,0.5881527777777779,0.7104753583488794
2026-02-27,google ads,Retargeting_Global,12284,1802,1254.27,52.0,3576.25,0.14669488765874308,0.6960432852386237,1.851260095513725
2026-02-05,google ads,Promo_Spring,7265,1646,149.63,74.0,1430.31,0.22656572608396422,0.0909052247873633,8.558978814408874
2026-01-27,google ads,Retargeting_Global,17850,1655,665.23,4.0,4530.79,0.0927170868347339,0.40195166163141993,5.810862408490296
2026-05-20,google ads,Promo_Spring,38194,2477,169.8,26.0,1936.14,0.06485311829083103,0.06855066612838111,10.402473498233215
2026-01-23,facebook,Brand_Awareness_2026,22962,1215,796.25,11.0,2794.36,0.05291350927619545,0.6553497942386831,2.5094003139717427
2026-04-19,google ads,Retargeting_Global,48191,1864,1353.41,16.0,347.81,0.03867942146873898,0.7260783261802576,-0.7430120953739074
2026-09-01,google ads,Retargeting_Global,45131,576,1184.6,5.0,2187.99,0.012762845937382286,2.056597222222222,0.8470285328380888
2026-01-08,google ads,Brand_Awareness_2026,17023,2428,380.37,4.0,4178.58,0.14263055865593607,0.15665980230642504,9.9855666850698
2026-01-24,linkedin,Promo_Spring,42090,945,1465.19,56.0,4047.68,0.022451888809693513,1.5504656084656085,1.7625632170571732
2026-02-25,facebook,Retargeting_Global,2685,1944,1017.66,27.0,1199.16,0.7240223463687151,0.5234876543209876,0.17835033311715123
2026-03-01,google ads,Brand_Awareness_2026,1769,1342,65.12,77.0,1207.79,0.7586206896551724,0.04852459016393443,17.547143734643736
2026-05-10,google ads,Promo_Spring,3433,211,420.35,68.0,4104.8,0.06146227789105738,1.9921800947867299,8.765195670274771
2026-01-07,facebook,Retargeting_Global,6311,2370,428.03,58.0,4658.95,0.375534780541911,0.18060337552742614,9.884634254608322
2026-05-24,google ads,Lead_Gen_Q1,38819,126,150.42,32.0,567.27,0.0032458332259975783,1.1938095238095237,2.7712405265257285
2026-02-20,google ads,Brand_Awareness_2026,40188,946,1441.75,61.0,2305.29,0.02353936498457251,1.5240486257928119,0.5989526616958557
2026-05-20,linkedin,Promo_Spring,18568,584,743.47,49.0,1753.53,0.031451960361912966,1.2730650684931508,1.3585753291995641
2026-04-18,facebook,Lead_Gen_Q1,20769,2301,1348.93,18.0,4366.37,0.110790119890221,0.5862364189482834,2.2369137019711918
2026-02-26,linkedin,Promo_Spring,29693,546,517.21,68.0,509.27,0.01838817229650086,0.9472710622710624,-0.015351597996945252
2026-04-25,google ads,Lead_Gen_Q1,7396,1635,231.59,65.0,1134.52,0.22106544077879936,0.14164525993883792,3.898829828576363
2026-05-31,linkedin,Lead_Gen_Q1,28480,2132,737.79,46.0,3787.09,0.07485955056179776,0.3460553470919324,4.133018880711314
2026-03-13,google ads,Brand_Awareness_2026,42434,395,215.24,38.0,351.34,0.0093085733138521,0.5449113924050634,0.6323174131202377
2026-01-02,facebook,Brand_Awareness_2026,26658,484,754.72,67.0,2513.42,0.01815590066771701,1.5593388429752066,2.3302681789272843
2026-02-10,facebook,Lead_Gen_Q1,19942,427,1384.43,0.0,2266.32,0.021412095075719586,3.242224824355972,0.6370058435601657
2026-04-19,google ads,Brand_Awareness_2026,19431,2404,805.11,12.0,1738.57,0.12371982913900469,0.33490432612312815,1.159419209797419
2026-03-29,facebook,Promo_Spring,3747,948,943.92,53.0,2033.4,0.2530024019215372,0.9956962025316455,1.1542079837274346
2026-03-13,linkedin,Retargeting_Global,1189,964,277.13,6.0,2696.71,0.8107653490328006,0.2874792531120332,8.730848338324973
